num_wavefunction, num_operator, time
7501, 31, 23068, 2039
7601, 31, 26201, 2050
7701, 31, 22654, 2044
7801, 31, 26859, 2047
7901, 31, 24828, 2111
8001, 31, 25210, 2051
8101, 31, 24647, 2043
8201, 31, 25986, 2171
8301, 31, 23917, 2055
8401, 31, 27471, 2051
8501, 31, 27447, 2058
8601, 31, 26774, 2055
8701, 31, 24872, 2061
8801, 31, 26574, 2055
8901, 31, 26088, 2057
9001, 31, 26768, 2057
9101, 31, 28448, 2063
9201, 31, 28550, 2180
9301, 31, 25946, 2062
9401, 31, 27624, 2064
9501, 31, 26526, 2189
9601, 31, 27349, 2057
9701, 31, 28505, 2128
9801, 31, 26801, 2067
9901, 31, 27309, 2064
1, 41, 25691, 1
101, 41, 24447, 203
201, 41, 25767, 332
301, 41, 21527, 518
401, 41, 23090, 536
501, 41, 25364, 721
601, 41, 25677, 797
701, 41, 24237, 877
801, 41, 27607, 974
901, 41, 27103, 972
1001, 41, 30282, 1175
1101, 41, 29004, 1214
1201, 41, 31061, 1330
1301, 41, 30816, 1269
1401, 41, 32578, 1471
1501, 41, 29013, 1436
1601, 41, 32230, 1494
1701, 41, 34619, 1541
1801, 41, 33326, 1590
1901, 41, 29313, 1543
2001, 41, 29648, 1572
2101, 41, 31373, 1642
2201, 41, 33753, 1613
2301, 41, 32755, 1658
2401, 41, 31561, 1682
2501, 41, 35066, 1740
2601, 41, 29783, 1718
2701, 41, 34194, 1739
2801, 41, 31533, 1741
2901, 41, 33887, 1779
3001, 41, 33289, 1813
3101, 41, 35040, 1843
3201, 41, 32289, 1809
3301, 41, 35437, 1922
3401, 41, 33621, 1816
3501, 41, 31979, 1864
3601, 41, 32622, 1952
3701, 41, 33256, 1957
3801, 41, 33133, 2024
3901, 41, 33556, 1896
4001, 41, 35929, 1948
4101, 41, 33591, 1981
4201, 41, 31010, 1927
4301, 41, 33813, 1967
4401, 41, 33749, 1981
4501, 41, 32655, 1969
4601, 41, 33652, 1997
4701, 41, 31690, 1957
4801, 41, 36341, 1980
4901, 41, 33790, 1968
5001, 41, 34418, 1992
5101, 41, 32965, 1991
5201, 41, 33297, 1974
5301, 41, 32277, 1989
5401, 41, 32944, 1982
5501, 41, 34025, 2026
5601, 41, 32612, 2123
5701, 41, 33863, 2003
5801, 41, 35853, 2021
5901, 41, 34993, 2020
6001, 41, 35374, 2026
6101, 41, 33196, 2031
6201, 41, 37091, 2015
6301, 41, 34777, 2017
6401, 41, 33323, 2092
6501, 41, 34251, 2024
6601, 41, 32418, 2209
6701, 41, 36124, 2098
6801, 41, 34382, 2038
6901, 41, 32824, 2052
7001, 41, 33869, 2047
7101, 41, 35996, 2158
7201, 41, 32769, 2045
7301, 41, 34160, 2106
7401, 41, 30937, 2047
7501, 41, 31368, 2044
7601, 41, 33382, 2059
7701, 41, 35159, 2045
7801, 41, 31611, 2054
7901, 41, 34880, 2112
8001, 41, 37145, 2058
8101, 41, 31935, 2051
8201, 41, 34916, 2297
8301, 41, 34632, 2056
8401, 41, 35793, 2060
8501, 41, 37041, 2064
8601, 41, 33407, 2058
8701, 41, 32220, 2064
8801, 41, 34698, 2058
8901, 41, 34088, 2059
9001, 41, 31626, 2062
9101, 41, 31788, 2066
9201, 41, 35312, 2185
9301, 41, 33323, 2065
9401, 41, 33633, 2066
9501, 41, 36405, 2255
9601, 41, 33362, 2061
9701, 41, 36071, 2129
9801, 41, 36786, 2068
9901, 41, 36355, 2065
1, 51, 29366, 1
101, 51, 30036, 232
201, 51, 28207, 400
301, 51, 30462, 568
401, 51, 31551, 578
501, 51, 30347, 795
601, 51, 30709, 864
