num_wavefunction, num_electrons, time, size
8501, 3, 136963, 7746
8601, 3, 137250, 7822
8701, 3, 136807, 7903
8801, 3, 136325, 7992
8901, 3, 137386, 8069
9001, 3, 136412, 8444
9101, 3, 136183, 8564
9201, 3, 137457, 8582
9301, 3, 136892, 8406
9401, 3, 136711, 8788
9501, 3, 136966, 8874
9601, 3, 136173, 8940
9701, 3, 135914, 8715
9801, 3, 137340, 8804
9901, 3, 137347, 8886
1, 4, 8734, 1
101, 4, 2637, 111
201, 4, 4076, 214
301, 4, 23179, 302
401, 4, 29684, 401
501, 4, 27340, 520
601, 4, 29453, 636
701, 4, 27921, 703
801, 4, 27784, 803
901, 4, 28695, 950
1001, 4, 27611, 1064
1101, 4, 28865, 1161
1201, 4, 28017, 1266
1301, 4, 27624, 1300
1401, 4, 28644, 1487
1501, 4, 28706, 1588
1601, 4, 27429, 1608
1701, 4, 27472, 1707
1801, 4, 28633, 1916
1901, 4, 27661, 2013
2001, 4, 28492, 2123
2101, 4, 55064, 2106
2201, 4, 31488, 2312
2301, 4, 52346, 2306
2401, 4, 54770, 2402
2501, 4, 55603, 2508
2601, 4, 56594, 2607
2701, 4, 55320, 2863
2801, 4, 53971, 2963
2901, 4, 55862, 2906
3001, 4, 55603, 3009
3101, 4, 55925, 3109
3201, 4, 54211, 3368
3301, 4, 54139, 3312
3401, 4, 55457, 3405
3501, 4, 56641, 3703
3601, 4, 53986, 3802
3701, 4, 56468, 3703
3801, 4, 55188, 3805
3901, 4, 55153, 4102
4001, 4, 56703, 4200
4101, 4, 58731, 4100
4201, 4, 76048, 4204
4301, 4, 82886, 4296
4401, 4, 83348, 4641
4501, 4, 81477, 4505
4601, 4, 81552, 4598
4701, 4, 83180, 4694
4801, 4, 83032, 5045
4901, 4, 82966, 4901
5001, 4, 81152, 5299
5101, 4, 82093, 5090
5201, 4, 82281, 5195
5301, 4, 82063, 5286
5401, 4, 82340, 5693
5501, 4, 83676, 5753
5601, 4, 81069, 5880
5701, 4, 82636, 5981
5801, 4, 82244, 6090
5901, 4, 82754, 6173
6001, 4, 84086, 6324
6101, 4, 85427, 6398
6201, 4, 104161, 6498
6301, 4, 87665, 6605
6401, 4, 103648, 6763
6501, 4, 110458, 6480
6601, 4, 108030, 6577
6701, 4, 109693, 6677
6801, 4, 108524, 6782
6901, 4, 110299, 6886
7001, 4, 109635, 6972
7101, 4, 108917, 7072
7201, 4, 109160, 7177
7301, 4, 108281, 7644
7401, 4, 110966, 7371
7501, 4, 109464, 7932
7601, 4, 108321, 7580
7701, 4, 108843, 8079
7801, 4, 109194, 7780
7901, 4, 110430, 7872
8001, 4, 111533, 7977
8101, 4, 133168, 8490
8201, 4, 114598, 8603
8301, 4, 130291, 8743
8401, 4, 117222, 8366
8501, 4, 129022, 8464
8601, 4, 136260, 8570
8701, 4, 135922, 8656
8801, 4, 138083, 9218
8901, 4, 135326, 9322
9001, 4, 137308, 8963
9101, 4, 136162, 9058
9201, 4, 136577, 9681
9301, 4, 134477, 9253
9401, 4, 137699, 9903
9501, 4, 135376, 9457
9601, 4, 136793, 9553
9701, 4, 135697, 9663
9801, 4, 136352, 9747
9901, 4, 137552, 10374
1, 5, 7207, 1
101, 5, 2671, 109
201, 5, 27170, 201
301, 5, 5127, 302
401, 5, 23734, 401
501, 5, 29632, 502
601, 5, 27931, 605
701, 5, 27166, 706
801, 5, 29682, 858
901, 5, 27820, 910
1001, 5, 27521, 1083
